SoldAs,IdentifiedAs,CommonName,Mislabelled,PurchaseLocation,City,Year,ExpectedGen,ExpectedMoreGen,RealGen,RealMoreGen,isMislabelled
Yellowtail,Rhomboplitesaurorubens,Vermillion Snapper,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Vermillion Snapper,Snapper,1
Sea Bass,Dicentrarchus labrax,Sea Bass,No,Restaurant,montreal,2019,Sea Bass,Bass,Sea Bass,Bass,0
Snapper,Rachycentron canadum,Cobia,Yes,Restaurant,montreal,2019,Snapper,Snapper,Cobia,Cobia,1
Loup de mer,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Loup de mer,Loup de mer,Sea Bass,Bass,1
"Cod, Wild Atlantic",Gadus morhua,Atlantic Cod,No,Grocerystore,montreal,2019,"Cod, Wild Atlantic",Cod,Atlantic Cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,Cod",No,Grocerystore,montreal,2019,"Cod, Pacific",Cod,"Pacific Cod, Grey Cod,Cod",Cod,0
Snapper/Vivaneau rouge,"Pristipomoides
filamentosus",Not on the CFIA Fish List,Yes,Grocerystore,montreal,2019,Snapper,Snapper,Not on the CFIA Fish List,List,1
"Salmon, Fresh Sockeye",Oncorhynchus nerka,Sockeye Salmon,No,Grocerystore,montreal,2019,"Salmon, Fresh Sockeye",Salmon,Sockeye Salmon,Salmon,0
"Cod, Fresh Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,"Cod, Fresh Pacific",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
"Salmon, Chinook Pacific","Oncorhynchus
tshawytscha",Chinook Salmon,No,Grocerystore,montreal,2019,"Salmon, Chinook Pacific",Salmon,Chinook Salmon,Salmon,0
Dover Sole,"Hippoglossoides
elassodon","Flounder, Sole, Flathead
Sole",Yes,Grocerystore,montreal,2019,Dover Sole,Sole,"Flounder, Sole, Flathead
Sole",Sole,1
"Lavraki, Mediterranean",Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,"Lavraki, Mediterranean",Lavraki,Sea Bass,Bass,1
Lithrinin,Pagellus erythrinus,Not on the CFIA Fish List,Yes,Restaurant,montreal,2019,Lithrinin,Lithrinin,Not on the CFIA Fish List,List,1
"Sole, Wild, Fresh","Hippoglossoides
elassodon",Sole,No,Grocerystore,montreal,2019,"Sole, Wild, Fresh",Sole,Sole,Sole,0
"Cod, Wild, Fresh Atlantic",Gadus morhua,Atlantic Cod,No,Grocerystore,montreal,2019,"Cod, Wild, Fresh Atlantic",Cod,Atlantic Cod,Cod,0
"Seabass, European",Dicentrarchus labrax,Sea Bass,No,Restaurant,montreal,2019,"Seabass, European",Bass,Sea Bass,Bass,0
"Snapper, red (Tai/vivaneau)",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, red ",Snapper,Nile Tilapia,Tilapia,1
Cod/Morue,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
Striped bass,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Striped bass,Bass,Sea Bass,Bass,1
Crevettes Matane,Pandalus borealis,"Crevette Boréale, Crevette, Crevette
Rose, Crevette D'eau
Froide, Crevette
Nordique, Crevette
Nordique Du Canada",Yes,Grocerystore,montreal,2019,Crevettes Matane,Matane,"Crevette Boréale, Crevette, Crevette
Rose, Crevette D'eau
Froide, Crevette
Nordique, Crevette
Nordique Du Canada",Crevette,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Grocerystore,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
Tuna: Darne de thon yellowfin,Thunnus albacares,"Thon, Albacore",Yes,Grocerystore,montreal,2019,Tuna: Darne de thon yellowfin,Tuna,"Thon, Albacore",tuna ,1
"Yellowtail Tuna, Hamachi",Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,"Yellowtail Tuna, Hamachi",Tuna,Japanese Amberjack,Amberjack,1
"Halibut, Fletan","Hippoglossus
hippoglossus",Flétan,No,Restaurant,montreal,2019,"Halibut, Fletan",Halibut,Flétan,Flétan,0
White Tuna (Albacore),Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White Tuna ,Tuna,Albacore Tuna,tuna ,1
White Tuna (Albacore),Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White Tuna ,Tuna,Albacore Tuna,tuna ,1
"Yellow Tail Tuna, Hamachi",Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,"Yellow Tail Tuna, Hamachi",Tuna,Japanese Amberjack,Amberjack,1
Butterfish,"Lepidocybium
flavobrunneum","Snake Mackerel, Escolar",Yes,Restaurant,montreal,2019,Butterfish,Butterfish,"Snake Mackerel, Escolar",Escolar,1
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
Butterfish,"Lepidocybium
flavobrunneum","Snake Mackerel, Escolar",Yes,Restaurant,montreal,2019,Butterfish,Butterfish,"Snake Mackerel, Escolar",Escolar,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Restaurant,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
Cod,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Restaurant,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Atlantic Cod,Gadus macrocephalus,Pacific Cod,Yes,Grocerystore,montreal,2019,Atlantic Cod,Cod,Pacific Cod,Cod,1
Crevette nordique,Pandalus borealis,Crevette Nordique,No,Restaurant,montreal,2019,Crevette nordique,nordique,Crevette Nordique,Nordique,0
Doré,Sander vitreus,Doré Jaune,Yes,Restaurant,montreal,2019,Doré,Doré,Doré Jaune,Jaune,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Cod, Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,"Cod, Pacific",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
"Cod, Fresh Icelandic",Gadus morhua,Cod,No,Grocerystore,montreal,2019,"Cod, Fresh Icelandic",Cod,Cod,Cod,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
"Snapper, red (Tai)",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, red ",Snapper,Nile Tilapia,Tilapia,1
White tuna/Thon blanc,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Atlantic Cod, Morue fraiche
atlantique",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",Yes,Grocerystore,montreal,2019,"Atlantic Cod, Morue fraiche
atlantique",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,1
"Salmon, Pacific",Salmo Salar,Atlantic Salmon,Yes,Grocerystore,montreal,2019,"Salmon, Pacific",Salmon,Atlantic Salmon,Salmon,1
White tuna (labelled Albacore),Thunnus alalunga,Albacore Tuna,No,Restaurant,montreal,2019,White tuna ,Tuna,Albacore Tuna,tuna ,0
Cod,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Restaurant,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Loup de mer,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Loup de mer,Loup de mer,Sea Bass,Bass,1
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Nile Tilapia,Tilapia,1
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Restaurant,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Dover Sole,Solea solea,Not on the CFIA Fish List,Yes,Restaurant,montreal,2019,Dover Sole,Sole,Not on the CFIA Fish List,List,1
"Cod, Atlantic",Gadus morhua,"Atlantic Cod
Japanese Seabream,",No,Restaurant,montreal,2019,"Cod, Atlantic",Cod,"Atlantic Cod
Japanese Seabream,",Atlantic cod ,0
"Sea Bass, Wild",Pagrus major,"Silver
Seabream, Genuine
Porgy",Yes,Restaurant,montreal,2019,"Sea Bass, Wild",Bass,"Silver
Seabream, Genuine
Porgy",Porgy,1
Cod (salted),Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,Cod ,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
"Sole, Atlantic",Limanda ferruginea,"Sole, Dab, Yellowtail,
Flounder, Yellowtail
Flounder, Rusty Dab",No,Grocerystore,montreal,2019,"Sole, Atlantic",Sole,"Sole, Dab, Yellowtail,
Flounder, Yellowtail
Flounder, Rusty Dab",Dab,0
Cod,Gadus morhua,"Atlantic Cod, Cod",No,Grocerystore,montreal,2019,Cod,Cod,"Atlantic Cod, Cod",Cod,0
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Grocerystore,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Nile Tilapia,Tilapia,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis aureus,Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Tilapia,Tilapia,1
